Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Penha (SC);-;-;...;-;-;-;-;-;127;-;-;191;11;-;...;...;-;37;...;...;-;138;-;-;...;-;-;-;-;-;...;...;...;-;86;-;26;...;...;...;-;25;-;-;-;-;-;-;960;-;...;-;22;-;33;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Peritiba (SC);-;-;...;-;-;-;-;-;126;-;-;-;300;224;...;...;-;-;...;...;-;54;-;-;...;-;-;-;-;-;...;...;...;-;112;-;-;...;...;...;-;819;-;-;-;-;-;-;84;-;...;-;-;-;3402;-;...;-;-;-;-;-;1194;-;-;-;117;...;-;...;90
Pescaria Brava (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Petrolândia (SC);-;-;...;-;-;-;30;14;896;-;-;-;520;3526;...;...;-;-;...;...;-;39;-;24;...;846;-;-;-;-;...;...;...;-;298;14;2078;...;...;...;-;273;8;-;-;-;-;-;5130;-;...;-;12;-;3207;-;...;384;36;-;-;-;63;-;180;-;40;...;-;...;16
Balneário Piçarras (SC);-;6;...;-;-;-;-;-;160;-;-;221;15;-;...;...;-;297;...;...;-;1004;-;-;...;-;-;-;-;-;...;...;...;-;164;-;72;...;...;...;-;77;-;-;-;-;-;-;360;-;...;-;23;-;33;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Pinhalzinho (SC);-;-;...;-;-;-;-;-;240;-;-;-;60;164;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;734;-;54;...;...;...;-;152;-;-;-;-;-;-;1009;-;...;-;-;-;7344;-;...;-;-;-;-;-;2772;-;-;-;273;...;-;...;-
Pinheiro Preto (SC);-;-;...;83;-;-;2;14;54;6;-;-;58;119;...;...;-;-;...;...;-;-;-;1;...;56;5;20;-;-;...;...;...;-;51;2;-;...;...;...;-;36;0;-;6;-;-;-;775;-;...;0;12;-;3133;-;...;6;47;-;-;-;453;-;2;113;212;...;-;...;5000
Piratuba (SC);12;-;...;40;-;-;8;13;396;20;-;-;114;62;...;...;-;-;...;...;-;20;-;3;...;18;3;2;-;-;...;...;...;-;567;3;-;...;...;...;-;233;6;-;-;-;-;-;604;-;...;-;8;2;4536;-;...;9;12;-;-;-;3072;-;15;-;336;...;-;...;-
Planalto Alegre (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Pomerode (SC);-;-;...;-;-;-;-;-;160;-;-;38;1320;-;...;...;-;-;...;...;-;915;630;-;...;-;-;-;-;-;...;...;...;-;-;-;907;...;...;...;-;34;-;-;-;-;-;-;1050;-;...;-;-;-;4500;-;...;-;-;-;-;-;33;-;30;-;-;...;-;...;-
Ponte Alta (SC);-;-;...;-;-;-;-;19;27;3;-;-;24;607;...;...;-;-;...;...;-;-;-;-;...;13;2;0;-;-;...;...;...;-;729;-;79;...;...;...;-;-;-;-;16;-;-;-;24;-;...;-;3;2;1620;-;...;7;47;-;-;-;180;-;-;1856;-;...;-;...;18
Ponte Alta do Norte (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Ponte Serrada (SC);-;-;...;-;-;-;-;31;1350;-;-;-;171;-;...;...;-;-;...;...;-;6;-;-;...;-;-;-;-;-;...;...;...;-;89;-;-;...;...;...;-;49;-;-;-;-;-;-;423;-;...;-;62;-;11664;-;...;-;-;-;-;-;2772;-;-;-;1120;...;-;...;-
Porto Belo (SC);-;-;...;-;-;-;5;8;142;-;-;474;18;-;...;...;-;9;...;...;-;556;-;-;...;-;-;-;-;-;...;...;...;-;86;-;45;...;...;...;-;158;-;-;-;-;-;-;290;-;...;-;8;-;43;-;...;-;-;-;-;-;-;-;140;-;-;...;-;...;-
Porto União (SC);-;-;...;-;-;-;9;31;4470;16;-;-;3000;2184;...;...;-;-;...;...;-;-;-;14;...;45;126;210;-;-;...;...;...;-;549;-;85;...;...;...;-;78;-;-;40;-;-;-;2115;-;...;2;14;-;5445;-;...;127;67;-;-;-;2091;-;14;37;315;...;-;...;86
Pouso Redondo (SC);-;-;...;-;-;-;-;4;4537;-;-;-;1200;159;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;440;-;3148;...;...;...;-;509;-;-;-;-;-;-;4500;-;...;-;24;-;2940;-;...;160;-;-;-;-;226;-;89;-;-;...;-;...;233
Praia Grande (SC);-;100;...;-;-;-;-;21;446;-;-;510;144;149;...;...;-;-;...;...;-;210;79;-;...;-;-;-;-;-;...;...;...;-;686;-;3780;...;...;...;-;141;-;-;-;-;-;-;1149;-;...;-;9;-;455;-;...;-;-;-;-;-;82;-;-;-;56;...;-;...;-
Presidente Castello Branco (SC);-;-;...;-;-;-;-;-;168;-;-;-;225;153;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;95;-;-;...;...;...;-;270;-;-;-;-;-;-;1522;-;...;-;-;-;367;-;...;-;-;-;-;-;1440;-;-;-;282;...;-;...;54
Presidente Getúlio (SC);5;-;...;-;-;-;45;25;326;-;-;29;300;429;...;...;-;-;...;...;-;189;30;2;...;23;-;-;-;-;...;...;...;-;358;-;4608;...;...;...;-;338;3;-;4;-;-;-;1155;-;...;-;16;-;3376;-;...;46;72;-;-;-;417;-;64;95;-;...;-;...;52
Presidente Nereu (SC);-;-;...;-;-;-;-;14;178;-;-;-;150;209;...;...;-;-;...;...;-;-;-;-;...;8;-;-;-;-;...;...;...;-;291;-;2160;...;...;...;-;98;-;-;-;-;-;-;363;-;...;-;-;-;1033;-;...;-;-;-;-;-;-;-;60;-;-;...;-;...;-
Princesa (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Quilombo (SC);-;-;...;-;-;-;-;15;351;-;-;-;144;149;...;...;-;-;...;...;-;126;-;-;...;24;-;-;-;-;...;...;...;-;7470;110;74;...;...;...;-;142;-;-;-;-;-;-;2003;-;...;-;-;-;49209;-;...;-;-;-;-;-;18492;-;177;-;307;...;-;...;-
Rancho Queimado (SC);-;-;...;-;-;-;-;10;10;-;-;-;375;192;...;...;-;-;...;...;-;29;-;-;...;270;-;-;-;-;...;...;...;-;63;-;56;...;...;...;-;-;-;-;24;-;-;-;217;-;...;-;12;-;368;-;...;400;84;-;-;-;-;-;-;126;-;...;-;...;10
Rio das Antas (SC);-;-;...;64;-;-;24;26;63;9;-;-;225;172;...;...;-;-;...;...;-;-;-;3;...;32;10;315;-;-;...;...;...;-;720;3;6;...;...;...;-;1;-;-;43;-;-;-;225;-;...;3;30;8;4320;-;...;16;111;-;-;-;504;-;0;75;806;...;-;...;1250
Rio do Campo (SC);-;-;...;-;-;-;-;-;609;-;-;-;82;114;...;...;-;-;...;...;-;-;-;2;...;18;-;-;-;-;...;...;...;-;119;-;4400;...;...;...;-;14;-;-;2;-;-;-;968;-;...;-;-;-;2334;-;...;8;3;-;-;-;336;-;6;640;4;...;-;...;47
Rio do Oeste (SC);-;-;...;-;-;-;-;4;1504;-;-;-;304;-;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;97;-;2838;...;...;...;-;386;-;-;28;-;-;-;1900;-;...;-;24;-;1306;-;...;170;-;-;-;-;78;-;81;-;-;...;-;...;24
Rio dos Cedros (SC);-;-;...;-;-;-;-;-;3037;-;-;292;1050;195;...;...;-;46;...;...;-;-;500;-;...;30;-;-;-;-;...;...;...;-;293;7;3196;...;...;...;-;225;27;-;-;-;-;-;960;-;...;-;2;-;1774;-;...;34;135;-;-;-;52;-;200;225;-;...;-;...;27
Rio do Sul (SC);-;-;...;-;-;-;-;4;1128;-;-;-;800;275;...;...;-;-;...;...;-;-;-;-;...;13;-;-;-;-;...;...;...;-;-;-;2464;...;...;...;-;420;-;-;33;-;-;-;1623;-;...;-;40;-;1612;-;...;100;-;-;-;-;139;-;83;-;-;...;-;...;44
Rio Fortuna (SC);-;-;...;17;-;-;52;13;112;2;-;49;1350;510;...;...;-;4;...;...;-;276;114;-;...;50;-;-;-;-;...;...;...;-;420;-;60;...;...;...;-;327;-;-;-;-;-;-;1633;-;...;-;12;-;1950;-;...;-;-;-;-;-;30;-;41;504;-;...;-;...;18
Rio Negrinho (SC);-;-;...;-;-;-;-;-;21;2;-;-;540;77;...;...;-;-;...;...;-;-;-;-;...;29;159;-;-;-;...;...;...;-;808;-;667;...;...;...;-;-;-;-;14;-;-;-;380;-;...;-;6;-;2250;-;...;54;32;-;-;-;491;-;-;-;81;...;-;...;-
Rio Rufino (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Riqueza (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Rodeio (SC);33;-;...;-;-;-;-;7;2851;-;-;396;390;-;...;...;-;-;...;...;-;-;300;-;...;16;-;-;-;-;...;...;...;-;82;-;719;...;...;...;-;303;19;-;-;-;-;-;504;-;...;-;-;-;773;-;...;-;60;-;-;-;47;-;200;-;-;...;-;...;18
Romelândia (SC);7;-;...;-;-;-;-;-;288;-;-;-;162;-;...;...;-;-;...;...;-;-;-;3;...;-;-;-;-;-;...;...;...;-;864;-;1059;...;...;...;-;60;-;-;-;-;-;-;695;-;...;-;-;-;4644;-;...;21;-;-;-;-;3704;-;-;-;74;...;-;...;-
Salete (SC);-;-;...;-;-;-;-;-;244;-;-;-;400;76;...;...;-;-;...;...;-;-;-;2;...;16;-;-;-;-;...;...;...;-;90;-;5600;...;...;...;-;87;-;-;1;-;-;-;744;-;...;-;-;-;2160;-;...;7;-;-;-;-;52;-;5;-;12;...;-;...;45
Saltinho (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Salto Veloso (SC);-;-;...;16;-;-;13;8;161;2;-;-;110;96;...;...;-;-;...;...;-;-;-;-;...;24;-;-;-;-;...;...;...;-;221;-;-;...;...;...;-;62;-;-;6;-;-;-;72;-;...;-;6;-;7056;9;...;-;33;-;-;-;529;-;9;45;189;...;-;...;236
Sangão (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Cecília (SC);-;-;...;-;-;-;29;19;27;6;-;-;90;119;...;...;-;-;...;...;-;-;-;2;...;21;6;6;-;-;...;...;...;-;960;3;-;...;...;...;-;2;-;-;14;-;-;-;90;-;...;1;21;-;3960;-;...;6;13;-;-;-;120;-;5;48;50;...;-;...;70
Santa Helena (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Rosa de Lima (SC);-;-;...;14;-;-;24;4;234;1;-;11;300;83;...;...;-;-;...;...;-;67;54;-;...;-;-;-;-;-;...;...;...;-;144;-;117;...;...;...;-;129;-;-;-;-;-;-;744;-;...;-;24;-;477;-;...;10;-;-;-;-;-;-;18;-;25;...;-;...;-
Santa Rosa do Sul (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Terezinha (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Terezinha do Progresso (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santiago do Sul (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santo Amaro da Imperatriz (SC);120;-;...;-;-;-;-;21;850;-;-;105;152;1494;...;...;-;64;...;...;-;210;-;-;...;27;-;-;-;-;...;...;...;-;132;-;54;...;...;...;-;364;6;-;-;-;-;-;726;-;...;-;18;-;428;-;...;-;-;-;-;-;-;-;67;677;-;...;-;...;6
São Bernardino (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São Bento do Sul (SC);-;-;...;-;-;-;-;-;117;-;-;-;720;2988;...;...;-;-;...;...;-;-;-;-;...;126;88;-;-;-;...;...;...;-;257;-;607;...;...;...;-;27;-;-;16;-;-;-;293;-;...;-;-;-;3375;-;...;223;78;-;-;-;32;-;25;-;270;...;-;...;293
São Bonifácio (SC);-;-;...;-;-;-;-;18;45;-;-;-;1200;96;...;...;-;-;...;...;-;9;31;-;...;225;-;-;-;-;...;...;...;-;72;-;699;...;...;...;-;273;-;-;-;-;-;-;453;-;...;-;16;-;998;-;...;384;-;-;-;-;-;-;48;151;-;...;-;...;5
São Carlos (SC);-;-;...;-;-;-;-;-;912;-;-;-;125;595;...;...;-;-;...;...;-;210;-;-;...;32;-;-;-;-;...;...;...;-;1168;-;315;...;...;...;-;1401;-;-;-;-;-;-;3918;-;...;-;-;-;21708;-;...;-;-;-;-;-;9120;-;336;-;113;...;-;...;-
São Cristóvão do Sul (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São Domingos (SC);-;-;...;-;-;-;-;11;182;-;-;-;26;209;...;...;-;-;...;...;-;-;-;-;...;19;-;-;-;-;...;...;...;-;1967;-;135;...;...;...;-;73;-;-;-;-;-;-;75;-;...;-;-;-;44000;-;...;101;15;-;-;-;6048;-;222;-;997;...;-;...;112
São Francisco do Sul (SC);-;-;...;-;-;-;-;-;209;-;-;960;-;-;...;...;-;-;...;...;-;10;4;-;...;-;-;-;-;-;...;...;...;-;-;-;-;...;...;...;-;-;-;-;-;-;-;-;290;-;...;-;-;-;38;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São João do Oeste (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São João Batista (SC);10;-;...;-;-;-;-;39;47;-;-;-;24;-;...;...;-;-;...;...;-;2018;910;-;...;-;-;-;-;-;...;...;...;-;169;-;2523;...;...;...;-;83;-;-;-;-;-;-;1080;-;...;-;-;-;426;-;...;-;-;-;-;-;171;-;-;-;-;...;-;...;-
São João do Itaperiú (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São João do Sul (SC);-;525;...;-;-;-;-;10;1680;-;-;86;195;99;...;...;-;-;...;...;-;99;54;-;...;32;-;-;-;-;...;...;...;-;309;-;1365;...;...;...;-;159;-;-;-;-;-;-;3630;-;...;-;14;-;67;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Joaquim (SC);-;-;...;-;-;-;-;-;-;-;-;-;-;2241;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;1852;-;-;...;...;...;-;-;-;-;180;-;-;-;-;-;...;-;-;-;2795;-;...;60;1250;-;-;-;-;-;-;-;-;...;-;...;-
São José (SC);42;-;...;-;-;-;6;4;20;-;-;161;176;1106;...;...;-;14;...;...;-;154;-;-;...;15;-;-;-;-;...;...;...;-;200;-;31;...;...;...;-;126;62;-;-;-;-;-;660;-;...;-;20;-;139;-;...;-;36;-;-;-;-;-;16;226;-;...;-;...;11
São José do Cedro (SC);-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;...;-;-;...;...;-;140;-;-;...;-;-;-;-;-;...;...;...;-;-;-;1245;...;...;...;-;-;-;-;-;-;-;-;6324;-;...;-;-;-;16200;-;...;-;-;-;-;-;13608;-;-;-;6319;...;-;...;-
São José do Cerrito (SC);-;-;...;72;-;-;-;-;245;-;-;-;-;522;...;...;-;-;...;...;-;-;-;-;...;35;-;-;-;-;...;...;...;-;4050;-;-;...;...;...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;11664;-;...;-;-;-;-;-;2620;-;-;-;259;...;-;...;-
São Lourenço do Oeste (SC);-;-;...;-;-;-;-;19;1026;-;-;-;901;99;...;...;-;-;...;...;-;420;-;-;...;19;-;-;-;-;...;...;...;-;3949;-;112;...;...;...;-;273;-;-;-;-;-;-;1631;-;...;-;-;-;22500;-;...;-;-;-;-;-;9540;-;222;-;855;...;-;...;-
São Ludgero (SC);-;-;...;-;-;-;19;16;32;-;-;105;150;590;...;...;-;-;...;...;-;20;47;-;...;28;-;-;-;-;...;...;...;-;204;-;1596;...;...;...;-;327;-;-;-;-;-;-;689;-;...;-;37;-;257;-;...;-;-;-;-;-;20;-;37;1008;4;...;-;...;-
São Martinho (SC);-;8;...;-;-;-;25;6;240;-;-;88;1800;462;...;...;-;-;...;...;-;63;37;-;...;105;-;-;-;-;...;...;...;-;1083;-;155;...;...;...;-;709;-;-;-;-;-;-;1742;-;...;-;-;-;1134;-;...;-;-;-;-;-;-;-;60;-;-;...;-;...;-
São Miguel da Boa Vista (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São Miguel do Oeste (SC);21;-;...;-;-;-;-;294;-;-;-;-;651;99;...;...;-;-;...;...;-;-;-;6;...;-;-;-;-;-;...;...;...;-;2376;25;879;...;...;...;-;-;-;-;-;-;-;-;1138;-;...;-;-;-;18810;-;...;71;-;-;-;-;12784;-;-;-;2160;...;-;...;-
São Pedro de Alcântara (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Saudades (SC);-;-;...;-;-;-;-;-;375;-;-;-;100;472;...;...;-;-;...;...;-;315;-;-;...;-;-;-;-;-;...;...;...;-;1302;-;1626;...;...;...;-;1022;-;-;-;-;-;-;4205;-;...;-;-;-;10530;-;...;-;-;-;-;-;4989;-;168;-;108;...;-;...;-
Schroeder (SC);-;-;...;-;-;-;-;-;1895;-;-;332;-;-;...;...;-;-;...;...;-;611;32;-;...;-;-;-;-;-;...;...;...;-;29;-;504;...;...;...;-;38;-;-;-;-;-;-;726;-;...;-;-;-;1004;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Seara (SC);-;-;...;-;-;-;-;-;117;-;-;-;-;-;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;3240;-;-;...;...;...;-;1350;-;-;-;-;-;-;2115;-;...;-;-;-;31375;-;...;-;-;-;-;-;4536;-;-;-;336;...;-;...;30
Serra Alta (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Siderópolis (SC);-;16;...;-;-;-;-;7;63;-;-;2131;52;252;...;...;-;-;...;...;-;9;21;-;...;23;-;-;-;-;...;...;...;-;70;-;348;...;...;...;-;428;-;-;-;-;-;-;208;-;...;-;-;-;299;-;...;-;-;-;-;-;2;-;-;-;-;...;-;...;-
Sombrio (SC);-;60;...;-;-;-;-;30;5200;-;-;2292;300;398;...;...;-;-;...;...;-;220;160;-;...;43;-;-;-;-;...;...;...;-;1291;-;4133;...;...;...;-;387;-;-;-;-;-;-;6485;-;...;-;30;-;2360;-;...;-;-;-;-;-;291;-;-;-;151;...;-;...;-
Sul Brasil (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Taió (SC);-;-;...;-;-;-;-;3;3028;-;-;-;400;59;...;...;-;-;...;...;-;27;-;2;...;22;-;-;-;-;...;...;...;-;96;-;4380;...;...;...;-;422;1;-;1;-;-;-;3840;-;...;-;-;-;5400;-;...;8;7;-;-;-;302;-;24;-;-;...;-;...;437
Tangará (SC);-;-;...;770;-;-;128;66;530;147;-;-;780;946;...;...;-;-;...;...;-;-;-;2;...;84;44;544;-;-;...;...;...;-;971;6;9;...;...;...;-;105;2;-;48;-;-;-;1057;-;...;0;72;9;27692;-;...;1;150;-;-;-;2268;-;7;189;1512;...;-;...;1666
Tigrinhos (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Tijucas (SC);48;15;...;-;-;-;-;13;491;-;-;216;21;-;...;...;-;24;...;...;-;3243;-;-;...;-;-;-;-;-;...;...;...;-;133;-;890;...;...;...;-;78;37;-;-;-;-;-;510;-;...;-;126;-;123;-;...;-;-;-;-;-;93;-;32;-;-;...;-;...;6
Timbé do Sul (SC);-;-;...;-;-;-;-;14;2300;-;-;774;1458;239;...;...;-;-;...;...;-;57;-;-;...;-;-;-;-;-;...;...;...;-;198;-;3685;...;...;...;-;-;-;-;-;-;-;-;827;-;...;-;17;-;1277;-;...;-;-;-;-;-;6;-;-;-;31;...;-;...;-
Timbó (SC);60;6;...;-;-;-;-;-;2352;-;-;200;825;18;...;...;-;44;...;...;-;20;630;-;...;24;-;-;-;-;...;...;...;-;52;3;659;...;...;...;-;472;74;-;-;-;-;-;912;-;...;-;24;-;2004;-;...;-;220;-;-;-;25;-;255;360;-;...;-;...;130
Timbó Grande (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Três Barras (SC);-;-;...;-;-;-;6;-;1257;-;-;-;50;1404;...;...;-;-;...;...;-;-;-;-;...;6;9;224;-;-;...;...;...;-;1317;7;-;...;...;...;-;-;-;-;20;-;-;-;158;-;...;-;8;-;1386;-;...;95;320;-;-;-;993;-;-;37;277;...;-;...;93
Treviso (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Treze de Maio (SC);-;45;...;-;-;-;31;42;180;-;-;56;400;1774;...;...;-;-;...;...;-;72;105;-;...;37;-;-;-;-;...;...;...;-;194;-;2118;...;...;...;-;169;-;-;-;-;-;-;883;-;...;-;-;-;121;-;...;-;-;-;-;-;67;-;-;-;-;...;-;...;7
Treze Tílias (SC);-;-;...;63;-;-;2;18;180;-;-;-;16;249;...;...;-;-;...;...;-;-;-;-;...;13;2;3;-;-;...;...;...;-;189;5;-;...;...;...;-;109;-;-;8;-;-;-;126;-;...;-;14;-;4536;-;...;9;24;-;-;-;336;-;6;-;1512;...;-;...;16
Trombudo Central (SC);-;-;...;-;-;-;8;10;153;-;-;-;196;166;...;...;-;-;...;...;-;-;-;-;...;90;-;-;-;-;...;...;...;-;23;-;1039;...;...;...;-;407;-;-;56;-;-;-;7500;-;...;-;48;-;3042;-;...;256;-;-;-;-;49;-;169;-;-;...;-;...;104
